Rok,Miesiąc,Dzień,Nr,Dia,Długość,Tonaż,Numer,Gatunek
2019,styczeń,2,1,160,12,144,567438,S235JR/S275JR
2019,styczeń,2,2,160,12,144,567439,S235JR/S275JR
2019,styczeń,2,3,160,12,146.4,567440,S235JR/S275JR
2019,styczeń,2,4,160,12,151.2,567441,S235JR/S275JR
2019,styczeń,2,5,160,12,146.4,567442,S235JR/S275JR
2019,styczeń,2,6,160,12,148.8,567443,S235JR/S275JR
2019,styczeń,2,7,160,12,153.6,567444,S235JR/S275JR
2019,styczeń,2,8,160,12,148.8,567445,S235JR/S275JR
2019,styczeń,2,9,160,12,144,567446,S235JR/S275JR
2019,styczeń,2,10,160,12,153.6,567447,S235JR/S275JR
2019,styczeń,2,11,160,12,148.8,567448,S235JR/S275JR
2019,styczeń,2,12,160,12,153.6,567449,S235JR/S275JR
2019,styczeń,2,13,160,12,147.1,567450,S235JR/S275JR
2019,styczeń,2,1,160,14,151.2,567451,S355J2
2019,styczeń,2,2,160,12,153.6,567452,St52.3
2019,styczeń,2,3,160,12,148.8,567453,St52.3
2019,styczeń,2,4,160,12,158.4,567454,St52.3
2019,styczeń,2,5,160,12,156,567455,St52.3
2019,styczeń,2,6,160,12,146.4,567456,St52.3
2019,styczeń,2,7,160,12,153.6,567457,St52.3
2019,styczeń,2,8,160,14,142.8,567458,S355J2
2019,styczeń,2,9,160,14,151.2,567459,S355J2
2019,styczeń,2,10,160,14,151.2,567460,S355J2
2019,styczeń,2,11,160,14,145.6,567461,S355J2
2019,styczeń,2,12,160,14,151.2,567462,S355J2
2019,styczeń,2,13,160,14,141.8,567463,S355J2
2019,styczeń,2,1,160,12,151.2,567464,S235JRC
2019,styczeń,2,2,160,12,151.2,567465,S235JRC
2019,styczeń,2,3,160,12,148.8,567466,S235JRC
2019,styczeń,3,4,160,12,153.6,567467,S235JR/S275JR
2019,styczeń,3,5,160,12,134.3,567468,C15R
2019,styczeń,3,6,160,12,144,567469,S235JR/S275JR
2019,styczeń,3,7,160,12,132,567470,S235JR/S275JR
